,DetectedState,DateAnnounced
645,Madhya Pradesh,20/04/2020
646,Madhya Pradesh,20/04/2020
647,Madhya Pradesh,20/04/2020
648,Madhya Pradesh,20/04/2020
649,Madhya Pradesh,20/04/2020
650,Madhya Pradesh,20/04/2020
651,Madhya Pradesh,20/04/2020
652,Madhya Pradesh,20/04/2020
653,Madhya Pradesh,20/04/2020
654,Madhya Pradesh,20/04/2020
655,Madhya Pradesh,20/04/2020
656,Madhya Pradesh,20/04/2020
657,Madhya Pradesh,20/04/2020
658,Madhya Pradesh,20/04/2020
659,Madhya Pradesh,20/04/2020
660,Madhya Pradesh,20/04/2020
661,Madhya Pradesh,20/04/2020
662,Madhya Pradesh,20/04/2020
663,Madhya Pradesh,20/04/2020
664,Madhya Pradesh,20/04/2020
665,Madhya Pradesh,20/04/2020
666,Madhya Pradesh,20/04/2020
667,Madhya Pradesh,20/04/2020
668,Madhya Pradesh,20/04/2020
669,Madhya Pradesh,20/04/2020
670,Madhya Pradesh,20/04/2020
671,Madhya Pradesh,20/04/2020
672,Madhya Pradesh,20/04/2020
673,Madhya Pradesh,20/04/2020
674,Madhya Pradesh,20/04/2020
675,Madhya Pradesh,20/04/2020
676,Madhya Pradesh,20/04/2020
677,Madhya Pradesh,20/04/2020
678,Madhya Pradesh,20/04/2020
679,Madhya Pradesh,20/04/2020
680,Madhya Pradesh,20/04/2020
681,Madhya Pradesh,20/04/2020
682,Madhya Pradesh,20/04/2020
683,Tamil Nadu,20/04/2020
684,Tamil Nadu,20/04/2020
685,Tamil Nadu,20/04/2020
686,Tamil Nadu,20/04/2020
687,Tamil Nadu,20/04/2020
688,Tamil Nadu,20/04/2020
689,Tamil Nadu,20/04/2020
690,Tamil Nadu,20/04/2020
691,Tamil Nadu,20/04/2020
692,Tamil Nadu,20/04/2020
693,Tamil Nadu,20/04/2020
694,Tamil Nadu,20/04/2020
695,Tamil Nadu,20/04/2020
696,Tamil Nadu,20/04/2020
697,Tamil Nadu,20/04/2020
698,Tamil Nadu,20/04/2020
699,Tamil Nadu,20/04/2020
700,Tamil Nadu,20/04/2020
701,Tamil Nadu,20/04/2020
702,Tamil Nadu,20/04/2020
703,Tamil Nadu,20/04/2020
704,Tamil Nadu,20/04/2020
705,Tamil Nadu,20/04/2020
706,Tamil Nadu,20/04/2020
707,Tamil Nadu,20/04/2020
708,Tamil Nadu,20/04/2020
709,Tamil Nadu,20/04/2020
710,Tamil Nadu,20/04/2020
711,Tamil Nadu,20/04/2020
712,Tamil Nadu,20/04/2020
713,Tamil Nadu,20/04/2020
714,Tamil Nadu,20/04/2020
